SE ID,seqnames,start,end,width,strand,ID,target SYMBOL,target ENSEMBL,target evidence,target main evidence,SE rank,Signature ChIPseq Top10Percent,Signature ChIPseq MaxExposure
SE_26,chr1,12172386,12218955,46570,*,SE_26,DHRS3,ENSG00000162496,correlation,correlation,834,MES,MES
SE_27,chr1,12397178,12406374,9197,*,SE_27,VPS13D,ENSG00000048707,correlation,correlation,484,MNA-LR,MNA-LR
SE_28,chr1,12480528,12546640,66113,*,SE_28,DHRS3,ENSG00000162496,HiChIP|correlation,HiChIP,857,,MES
SE_29,chr1,12600070,12628155,28086,*,SE_29,DHRS3,ENSG00000162496,HiChIP|correlation|nearest,HiChIP,159,,MES
SE_30,chr1,15504265,15553666,49402,*,SE_30,TMEM51,ENSG00000171729,correlation,correlation,1215,,MES
SE_31,chr1,16257888,16293120,35233,*,SE_31,ZBTB17,ENSG00000116809,nearest,nearest,690,,MES
SE_32,chr1,16569407,16597798,28392,*,SE_32,FAM131C,ENSG00000185519,HiC|correlation,HiC,1130,MNA-LR,MNA-LR
SE_33,chr1,17873277,17936650,63374,*,SE_33,SDHB,ENSG00000117118,correlation,correlation,1802,,MNA-HR
SE_34,chr1,17968698,18038946,70249,*,SE_34,ARHGEF10L,ENSG00000074964,correlation,correlation,1576,,MNA-HR
SE_35,chr1,18190781,18223766,32986,*,SE_35,ARHGEF10L,ENSG00000074964,correlation,correlation,405,,MNA-LR
SE_36,chr1,18458748,18628921,170174,*,SE_36,ARHGEF10L,ENSG00000074964,correlation,correlation,1785,,MNA-LR
SE_37,chr1,19088654,19147873,59220,*,SE_37,RNU6-1099P,ENSG00000200403,correlation,correlation,1208,,MNA-HR
SE_38,chr1,19239844,19276123,36280,*,SE_38,HTR6,ENSG00000158748,HiC,HiC,741,MES,MES
SE_39,chr1,19696268,19803804,107537,*,SE_39,NBL1,ENSG00000158747,correlation,correlation,1762,,MES
SE_40,chr1,21578008,21610723,32716,*,SE_40,LINC00339,ENSG00000218510,HiC,HiC,1477,MES,MES
SE_41,chr1,21629030,21645781,16752,*,SE_41,ECE1,ENSG00000117298,correlation,correlation,1114,MES,MES
SE_42,chr1,22218502,22269918,51417,*,SE_42,RAP1GAP,ENSG00000076864,correlation,correlation,908,MES,MES
SE_43,chr1,22431808,22460332,28525,*,SE_43,C1QC,ENSG00000159189,HiC,HiC,816,,MNA-HR
SE_44,chr1,22639985,22747082,107098,*,SE_44,C1QC,ENSG00000159189,HiC|correlation,HiC,1824,,MNA-LR
SE_45,chr1,25030898,25062934,32037,*,SE_45,STPG1,ENSG00000001460,correlation,correlation,164,,MES
SE_46,chr1,25344369,25393941,49573,*,SE_46,RUNX3,ENSG00000020633,correlation,correlation,1010,,MNA-HR
SE_47,chr1,25490645,25527136,36492,*,SE_47,RUNX3,ENSG00000020633,correlation,correlation,167,,MNA-LR
SE_48,chr1,26052438,26114714,62277,*,SE_48,SEPN1,ENSG00000162430,HiChIP|correlation,HiChIP,1492,,MNA-HR
SE_49,chr1,27623546,27635403,11858,*,SE_49,GPR3,ENSG00000181773,HiC|correlation,HiC,550,,MNA-HR
SE_50,chr1,30431293,30446090,14798,*,SE_50,LAPTM5,ENSG00000162511,nearest,nearest,166,,MNA-LR
SE_51,chr1,31201768,31222181,20414,*,SE_51,LAPTM5,ENSG00000162511,correlation,correlation,660,,MES
SE_52,chr1,31349247,31402165,52919,*,SE_52,MIR4420,ENSG00000264773,correlation,correlation,1498,,MES
SE_53,chr1,32191637,32220015,28379,*,SE_53,BAI2,ENSG00000121753,correlation,correlation,1050,,MNA-HR
SE_54,chr1,32506159,32529946,23788,*,SE_54,MIR5585,ENSG00000266203,correlation,correlation,470,,MNA-LR
SE_55,chr1,33446396,33478221,31826,*,SE_55,PHC2,ENSG00000134686,correlation,correlation,672,,MES
SE_56,chr1,33606215,33619746,13532,*,SE_56,TRIM62,ENSG00000116525,correlation,correlation,309,,MNA-LR
SE_57,chr1,34281509,34294706,13198,*,SE_57,RN7SKP16,ENSG00000222112,correlation,correlation,519,MNA-LR,MNA-LR
SE_58,chr1,37027069,37056282,29214,*,SE_58,STK40,ENSG00000196182,correlation,correlation,377,,MNA-HR
SE_59,chr1,37296606,37360524,63919,*,SE_59,MIR5581,ENSG00000263675,HiChIP,HiChIP,1347,,MNA-HR
SE_60,chr1,37516099,37544594,28496,*,SE_60,MEAF6,ENSG00000163875,correlation,correlation,805,,MNA-LR
SE_61,chr1,38484779,38500773,15995,*,SE_61,C1orf122,ENSG00000197982,correlation,correlation,622,,MNA-HR
SE_62,chr1,39639132,39663342,24211,*,SE_62,RRAGC,ENSG00000116954,correlation,correlation,144,,MES
SE_63,chr1,40071259,40093977,22719,*,SE_63,HPCAL4,ENSG00000116983,correlation,correlation,696,,MNA-LR
SE_64,chr1,40111082,40131050,19969,*,SE_64,NT5C1A,ENSG00000116981,correlation,correlation,968,MNA-LR,MNA-LR
SE_65,chr1,40846477,40889361,42885,*,SE_65,MFSD2A,ENSG00000168389,correlation,correlation,439,MES,MES
SE_66,chr1,41877934,41948284,70351,*,SE_66,FOXO6,ENSG00000204060,correlation,correlation,1603,,MNA-HR
SE_67,chr1,42142809,42230798,87990,*,SE_67,FOXO6,ENSG00000204060,correlation,correlation,1851,,MNA-HR
SE_68,chr1,43506623,43528596,21974,*,SE_68,RP5-994D16.3,ENSG00000234917,correlation,correlation,378,,MNA-LR
SE_69,chr1,48263627,48417690,154064,*,SE_69,SPATA6,ENSG00000132122,correlation,correlation,1827,,MNA-HR
SE_70,chr1,49374796,49445923,71128,*,SE_70,BEND5,ENSG00000162373,correlation,correlation,1546,,MNA-LR
SE_71,chr1,49502858,49523654,20797,*,SE_71,AGBL4,ENSG00000186094,correlation,correlation,1298,MNA-LR,MNA-LR
SE_72,chr1,49588812,49713482,124671,*,SE_72,AGBL4,ENSG00000186094,correlation,correlation,1525,,MNA-LR
SE_73,chr1,49981838,50000817,18980,*,SE_73,AGBL4,ENSG00000186094,correlation,correlation,295,MNA-LR,MNA-LR
SE_74,chr1,50730086,50747020,16935,*,SE_74,ELAVL4,ENSG00000162374,correlation,correlation,1134,MNA-LR,MNA-LR
SE_75,chr1,53974189,54152459,178271,*,SE_75,MRPL37,ENSG00000116221,correlation,correlation,1915,,MNA-HR
SE_76,chr1,54744519,54785526,41008,*,SE_76,HSPB11,ENSG00000081870,correlation,correlation,1760,MNA-LR,MNA-LR
SE_77,chr1,55024821,55051874,27054,*,SE_77,MRPL37,ENSG00000116221,correlation,correlation,666,,MNA-HR
SE_78,chr1,56149220,56165330,16111,*,SE_78,USP24,ENSG00000162402,correlation,correlation,402,,MNA-LR
SE_79,chr1,60131745,60225243,93499,*,SE_79,JUN,ENSG00000177606,HiChIP,HiChIP,945,,MES
SE_80,chr1,66695750,66767368,71619,*,SE_80,PDE4B,ENSG00000184588,correlation,correlation,1523,,MES
SE_81,chr1,66904490,66946428,41939,*,SE_81,SGIP1,ENSG00000118473,correlation,correlation,1399,,MNA-LR
SE_82,chr1,68035314,68084645,49332,*,SE_82,GADD45A,ENSG00000116717,correlation,correlation,929,,MNA-LR
SE_83,chr1,68382259,68423826,41568,*,SE_83,DIRAS3,ENSG00000162595,correlation,correlation,944,,MNA-LR
SE_84,chr1,90151134,90207890,56757,*,SE_84,LRRC8C,ENSG00000171488,correlation,correlation,1433,,MES
SE_85,chr1,94059822,94092096,32275,*,SE_85,FNBP1L,ENSG00000137942,HiC,HiC,894,,MES
SE_86,chr1,94155405,94188501,33097,*,SE_86,BCAR3,ENSG00000137936,correlation,correlation,951,,MES
SE_87,chr1,94502604,94567878,65275,*,SE_87,ARHGAP29,ENSG00000137962,correlation,correlation,1606,,MYCN
SE_88,chr1,95401745,95509057,107313,*,SE_88,CNN3,ENSG00000117519,correlation,correlation,1143,,MES
SE_89,chr1,95771249,95792301,21053,*,SE_89,RP11-286B14.1,ENSG00000228971,correlation,correlation,917,MNA-LR,MNA-LR
SE_90,chr1,95811264,95880972,69709,*,SE_90,RP11-286B14.1,ENSG00000228971,correlation,correlation,957,,MNA-LR
SE_91,chr1,95942310,95985535,43226,*,SE_91,RP11-286B14.1,ENSG00000228971,correlation,correlation,464,,MNA-LR
SE_92,chr1,96101494,96150707,49214,*,SE_92,RP11-286B14.1,ENSG00000228971,correlation,correlation,871,,MYCN
SE_93,chr1,96441703,96452649,10947,*,SE_93,RP11-286B14.1,ENSG00000228971,correlation,correlation,255,MNA-LR,MNA-LR
SE_94,chr1,96467329,96501107,33779,*,SE_94,RP11-286B14.1,ENSG00000228971,correlation,correlation,119,,MNA-LR
SE_95,chr1,96523724,96554902,31179,*,SE_95,RP11-286B14.1,ENSG00000228971,correlation,correlation,215,,MNA-LR
SE_96,chr1,97444031,97465781,21751,*,SE_96,DPYD,ENSG00000188641,nearest,nearest,510,,MYCN
SE_97,chr1,99363561,99408271,44711,*,SE_97,LPPR5,ENSG00000117598,correlation,correlation,411,,MYCN
SE_98,chr1,107755979,107854133,98155,*,SE_98,NTNG1,ENSG00000162631,correlation,correlation,1390,,MNA-LR
SE_99,chr1,110173804,110192144,18341,*,SE_99,GNAI3,ENSG00000065135,HiChIP|correlation,HiChIP,694,,MNA-HR
SE_100,chr1,110302123,110320406,18284,*,SE_100,AHCYL1,ENSG00000168710,HiChIP|HiC|correlation,HiChIP,950,MNA-HR,MNA-HR
SE_101,chr1,110636348,110680734,44387,*,SE_101,RP4-773N10.4,ENSG00000258634,HiChIP|HiC|correlation,HiChIP,1512,MNA-HR,MNA-HR
SE_102,chr1,110769469,110805960,36492,*,SE_102,STRIP1,ENSG00000143093,correlation,correlation,1521,,MNA-LR
SE_103,chr1,116716424,116746336,29913,*,SE_103,ATP1A1,ENSG00000163399,correlation,correlation,232,,MNA-LR
SE_104,chr1,116864922,116889703,24782,*,SE_104,CD2,ENSG00000116824,correlation,correlation,410,,MNA-LR
SE_105,chr1,116991186,117060061,68876,*,SE_105,CD58,ENSG00000116815,correlation,correlation,1582,,MES
SE_106,chr1,145013994,145029460,15467,*,SE_106,WI2-1896O14.1,ENSG00000215861,correlation,correlation,375,MNA-LR,MNA-LR
SE_107,chr1,145448551,145458156,9606,*,SE_107,TXNIP,ENSG00000117289,HiChIP|correlation,HiChIP,1141,MES,MES
SE_108,chr1,151788967,151803190,14224,*,SE_108,TUFT1,ENSG00000143367,correlation,correlation,1002,MNA-HR,MNA-HR
SE_109,chr1,153435766,153493900,58135,*,SE_109,JTB,ENSG00000143543,HiC|correlation,HiC,925,,MNA-LR
SE_110,chr1,154389281,154415195,25915,*,SE_110,IL6R,ENSG00000160712,correlation,correlation,202,,MES
SE_111,chr1,154679938,154726463,46526,*,SE_111,UBE2Q1,ENSG00000160714,HiC|correlation,HiC,1552,,MNA-LR
SE_112,chr1,156798201,156822477,24277,*,SE_112,INSRR,ENSG00000027644,correlation,correlation,629,,MNA-HR
SE_113,chr1,156994093,157005158,11066,*,SE_113,ARHGEF11,ENSG00000132694,correlation,correlation,455,MNA-LR,MNA-LR
SE_114,chr1,157971317,157993427,22111,*,SE_114,CD1D,ENSG00000158473,correlation,correlation,139,MES,MES
SE_115,chr1,162098390,162139314,40925,*,SE_115,NOS1AP,ENSG00000198929,correlation,correlation,1249,,MNA-LR
SE_116,chr1,162843964,162917190,73227,*,SE_116,RGS4,ENSG00000117152,HiChIP|correlation,HiChIP,1881,MNA-LR,MNA-LR
SE_117,chr1,163003736,163019839,16104,*,SE_117,RGS5,ENSG00000143248,correlation,correlation,502,,MNA-LR
SE_118,chr1,163064527,163138422,73896,*,SE_118,UAP1,ENSG00000117143,correlation,correlation,1288,,MNA-LR
SE_119,chr1,163200722,163223295,22574,*,SE_119,RGS5,ENSG00000143248,correlation,correlation,756,MNA-LR,MNA-LR
SE_120,chr1,163419858,163447473,27616,*,SE_120,RGS5,ENSG00000143248,correlation,correlation,249,,MNA-LR
SE_121,chr1,164675026,164705539,30514,*,SE_121,PBX1,ENSG00000185630,correlation,correlation,1052,,MYCN
SE_122,chr1,164716985,164760257,43273,*,SE_122,PBX1,ENSG00000185630,correlation,correlation,1357,,MES
SE_123,chr1,165813552,165877947,64396,*,SE_123,ALDH9A1,ENSG00000143149,correlation,correlation,1199,,MES
SE_124,chr1,168642113,168736193,94081,*,SE_124,ATP1B1,ENSG00000143153,correlation,correlation,1644,,MNA-LR
SE_125,chr1,170644179,170684165,39987,*,SE_125,PRRX1,ENSG00000116132,nearest,nearest,1,,MES
SE_126,chr1,172343355,172370122,26768,*,SE_126,MIR214,ENSG00000207949,correlation,correlation,223,,MES
SE_127,chr1,175343174,175392046,48873,*,SE_127,TNR,ENSG00000116147,correlation,correlation,982,,MNA-LR
SE_128,chr1,176735963,176748229,12267,*,SE_128,ASTN1,ENSG00000152092,nearest,nearest,207,,MYCN
SE_129,chr1,179721237,179779162,57926,*,SE_129,FAM163A,ENSG00000143340,correlation,correlation,1947,MNA-LR,MNA-LR
SE_130,chr1,180888492,180915722,27231,*,SE_130,CACNA1E,ENSG00000198216,HiC,HiC,1621,MNA-HR,MNA-HR
SE_131,chr1,182111743,182121786,10044,*,SE_131,GLUL,ENSG00000135821,HiC|correlation|nearest,HiC,252,MES,MES
SE_132,chr1,182246270,182287842,41573,*,SE_132,GLUL,ENSG00000135821,correlation,correlation,361,,MNA-LR
SE_133,chr1,192503850,192534330,30481,*,SE_133,RGS18,ENSG00000150681,correlation,correlation,74,,MES
SE_134,chr1,192620089,192630111,10023,*,SE_134,GLRX2,ENSG00000023572,correlation,correlation,118,MNA-LR,MNA-LR
SE_135,chr1,198624576,198655332,30757,*,SE_135,PTPRC,ENSG00000081237,correlation,correlation,632,,MES
SE_136,chr1,201515064,201586107,71044,*,SE_136,AC096677.1,ENSG00000269690,correlation,correlation,1691,,MES
SE_137,chr1,202533277,202569961,36685,*,SE_137,SYT2,ENSG00000143858,correlation,correlation,1739,MES,MES
SE_138,chr1,202627584,202673097,45514,*,SE_138,PPP1R12B,ENSG00000077157,correlation,correlation,1055,,MNA-LR
SE_139,chr1,203324359,203349434,25076,*,SE_139,ATP2B4,ENSG00000058668,correlation,correlation,862,,MNA-LR
SE_140,chr1,203473535,203489942,16408,*,SE_140,ATP2B4,ENSG00000058668,HiChIP|correlation,HiChIP,1526,MNA-LR,MNA-LR
SE_141,chr1,203502946,203584698,81753,*,SE_141,ATP2B4,ENSG00000058668,correlation,correlation,1704,,MNA-LR
SE_142,chr1,203630796,203671447,40652,*,SE_142,BTG2,ENSG00000159388,correlation,correlation,1343,,MES
SE_143,chr1,204264670,204311879,47210,*,SE_143,SNRPE,ENSG00000182004,correlation,correlation,1563,,MNA-HR
SE_144,chr1,204407970,204450284,42315,*,SE_144,PIK3C2B,ENSG00000133056,HiC|nearest,HiC,1310,,MES
SE_145,chr1,204583633,204630869,47237,*,SE_145,LRRN2,ENSG00000170382,correlation,correlation,1836,MNA-HR,MNA-HR
SE_146,chr1,205209239,205275738,66500,*,SE_146,NUAK2,ENSG00000163545,HiC|correlation|nearest,HiC,1602,,MES
SE_147,chr1,205322840,205339222,16383,*,SE_147,KLHDC8A,ENSG00000162873,correlation,correlation,713,MNA-LR,MNA-LR
SE_148,chr1,205435689,205454774,19086,*,SE_148,LEMD1,ENSG00000186007,correlation,correlation,697,,MNA-HR
SE_149,chr1,206738872,206765692,26821,*,SE_149,RASSF5,ENSG00000136653,HiChIP|correlation,HiChIP,143,,MES
SE_150,chr1,206865682,206897766,32085,*,SE_150,MAPKAPK2,ENSG00000162889,correlation,correlation,148,,MES
SE_151,chr1,207091384,207103701,12318,*,SE_151,EIF2D,ENSG00000143486,HiC,HiC,43,MES,MES
SE_152,chr1,208423945,208450646,26702,*,SE_152,PLXNA2,ENSG00000076356,correlation,correlation,703,,MNA-HR
SE_153,chr1,208606594,208656938,50345,*,SE_153,PLXNA2,ENSG00000076356,correlation,correlation,1484,,MNA-LR
SE_154,chr1,208694288,208733751,39464,*,SE_154,PLXNA2,ENSG00000076356,correlation,correlation,1386,,MNA-LR
SE_155,chr1,208991041,209067667,76627,*,SE_155,RP11-565N2.1,ENSG00000261453,correlation,correlation,797,,MNA-LR
SE_156,chr1,209220610,209245827,25218,*,SE_156,RP11-565N2.1,ENSG00000261453,correlation,correlation,480,,MNA-LR
SE_157,chr1,210679215,210773387,94173,*,SE_157,KCNH1,ENSG00000143473,HiC|correlation,HiC,1794,,MYCN
SE_158,chr1,210792632,210932209,139578,*,SE_158,KCNH1,ENSG00000143473,HiChIP|correlation|nearest,HiChIP,1930,,MNA-LR
SE_159,chr1,211073942,211095226,21285,*,SE_159,KCNH1-IT1,ENSG00000234233,correlation,correlation,1132,MNA-LR,MNA-LR
SE_160,chr1,211107793,211126704,18912,*,SE_160,KCNH1-IT1,ENSG00000234233,correlation,correlation,1179,MNA-LR,MNA-LR
SE_161,chr1,218632472,218673204,40733,*,SE_161,RP11-224O19.2,ENSG00000232480,correlation,correlation,75,,MES
SE_162,chr1,221871660,221903464,31805,*,SE_162,DUSP10,ENSG00000143507,correlation,correlation,587,MES,MES
SE_163,chr1,222212423,222228080,15658,*,SE_163,DUSP10,ENSG00000143507,HiChIP|correlation|nearest,HiChIP,1024,MYCN,MYCN
SE_164,chr1,224883912,224948833,64922,*,SE_164,WDR26,ENSG00000162923,correlation,correlation,204,,MES
SE_165,chr1,225942701,225959177,16477,*,SE_165,SDE2,ENSG00000143751,correlation,correlation,705,,MES
SE_166,chr1,226660959,226696021,35063,*,SE_166,C1orf95,ENSG00000203685,correlation,correlation,1057,,MNA-HR
SE_167,chr1,226821564,226854067,32504,*,SE_167,ITPKB,ENSG00000143772,correlation,correlation,1682,MES,MES
SE_168,chr1,228090448,228118304,27857,*,SE_168,C1orf35,ENSG00000143793,correlation,correlation,974,MNA-HR,MNA-HR
SE_169,chr1,228883934,229165295,281362,*,SE_169,RHOU,ENSG00000116574,HiChIP|correlation|nearest,HiChIP,1955,,MNA-LR
SE_170,chr1,229265115,229306812,41698,*,SE_170,RAB4A,ENSG00000168118,correlation,correlation,885,,MNA-LR
SE_171,chr1,230210508,230262128,51621,*,SE_171,GALNT2,ENSG00000143641,correlation,correlation,1568,,MES
SE_172,chr1,230864056,230909565,45510,*,SE_172,C1orf131,ENSG00000143633,correlation,correlation,1511,,MNA-LR
SE_173,chr1,230958082,230973162,15081,*,SE_173,COG2,ENSG00000135775,correlation,correlation,662,MNA-LR,MNA-LR
SE_174,chr1,231308019,231337777,29759,*,SE_174,TRIM67,ENSG00000119283,correlation,correlation,727,,MNA-LR
SE_175,chr1,232053266,232086339,33074,*,SE_175,SIPA1L2,ENSG00000116991,correlation,correlation,1140,,MYCN
SE_176,chr1,234408150,234421162,13013,*,SE_176,SLC35F3,ENSG00000183780,correlation,correlation,635,MNA-LR,MNA-LR
SE_177,chr1,234621329,234726212,104884,*,SE_177,RP4-597N16.4,ENSG00000273416,HiChIP,HiChIP,1959,MYCN,MYCN
SE_178,chr1,234832859,234914524,81666,*,SE_178,IRF2BP2,ENSG00000168264,HiChIP|HiC|correlation|nearest,HiChIP,1962,MYCN,MYCN
SE_179,chr1,235033830,235097276,63447,*,SE_179,SNORA14B,ENSG00000207181,correlation,correlation,1595,,MES
SE_180,chr1,235122176,235140498,18323,*,SE_180,IRF2BP2,ENSG00000168264,HiChIP,HiChIP,459,MES,MES
SE_181,chr1,236064059,236087567,23509,*,SE_181,B3GALNT2,ENSG00000162885,correlation,correlation,563,MES,MES
SE_182,chr1,237247673,237287866,40194,*,SE_182,RYR2,ENSG00000198626,correlation,correlation,878,,MNA-LR
SE_183,chr1,237313677,237455880,142204,*,SE_183,RYR2,ENSG00000198626,correlation,correlation,1752,,MNA-LR
SE_184,chr1,240032758,240061465,28708,*,SE_184,CHRM3,ENSG00000133019,correlation,correlation,504,,MYCN
SE_185,chr1,243653864,243660186,6323,*,SE_185,RP11-261C10.5,ENSG00000227230,correlation,correlation,396,MES,MES
SE_186,chr1,245524745,245549964,25220,*,SE_186,KIF26B,ENSG00000162849,correlation,correlation,820,,MYCN
SE_187,chr1,245713340,245763500,50161,*,SE_187,KIF26B,ENSG00000162849,correlation,correlation,1522,,MYCN
SE_188,chr1,245841278,245865710,24433,*,SE_188,KIF26B,ENSG00000162849,correlation,correlation,939,,MYCN
SE_189,chr1,245906022,246001831,95810,*,SE_189,KIF26B,ENSG00000162849,HiChIP|correlation,HiChIP,1765,,MYCN
SE_190,chr1,246017853,246045342,27490,*,SE_190,SMYD3,ENSG00000185420,correlation,correlation,523,MES,MES
SE_191,chr1,246822079,246847911,25833,*,SE_191,CNST,ENSG00000162852,correlation,correlation,759,,MNA-LR
SE_192,chr10,3538712,3590395,51684,*,SE_192,KLF6,ENSG00000067082,correlation,correlation,337,,MES
SE_193,chr10,3843351,3856831,13481,*,SE_193,KLF6,ENSG00000067082,correlation,correlation,472,MES,MES
SE_194,chr10,3880331,3946820,66490,*,SE_194,KLF6,ENSG00000067082,correlation,correlation,779,,MES
SE_195,chr10,4282601,4306430,23830,*,SE_195,KLF6,ENSG00000067082,HiChIP|correlation|nearest,HiChIP,80,MES,MES
SE_196,chr10,5976001,5992837,16837,*,SE_196,PFKFB3,ENSG00000170525,correlation,correlation,61,MES,MES
SE_197,chr10,7296982,7317771,20790,*,SE_197,SFMBT2,ENSG00000198879,HiChIP|correlation|nearest,HiChIP,400,,MNA-LR
SE_198,chr10,8126921,8180733,53813,*,SE_198,GATA3,ENSG00000107485,correlation,correlation,1607,,MNA-LR
SE_199,chr10,8666751,8688088,21338,*,SE_199,RP5-1119O21.2,ENSG00000226861,correlation,correlation,686,,MNA-LR
SE_200,chr10,9255300,9296050,40751,*,SE_200,RP11-543F8.2,ENSG00000226990,nearest,nearest,597,MYCN,MYCN
SE_201,chr10,9325609,9343023,17415,*,SE_201,RP11-543F8.2,ENSG00000226990,nearest,nearest,467,MYCN,MYCN
SE_202,chr10,12540541,12557425,16885,*,SE_202,CAMK1D,ENSG00000183049,correlation,correlation,487,,MYCN
SE_203,chr10,15826866,15857311,30446,*,SE_203,ITGA8,ENSG00000077943,correlation,correlation,440,,MNA-LR
SE_204,chr10,17027593,17083566,55974,*,SE_204,TRDMT1,ENSG00000107614,HiChIP,HiChIP,644,MES,MES
SE_205,chr10,22910460,22956555,46096,*,SE_205,MSRB2,ENSG00000148450,correlation,correlation,791,,MES
SE_206,chr10,24199023,24217155,18133,*,SE_206,OTUD1,ENSG00000165312,correlation,correlation,123,,MNA-LR
SE_207,chr10,25964151,26015369,51219,*,SE_207,GPR158,ENSG00000151025,correlation,correlation,680,,MNA-LR
SE_208,chr10,30730564,30756975,26412,*,SE_208,MAP3K8,ENSG00000107968,correlation,correlation,41,,MES
SE_209,chr10,31035154,31043259,8106,*,SE_209,ZEB1-AS1,ENSG00000237036,correlation,correlation,313,MNA-LR,MNA-LR
SE_210,chr10,31898431,31910145,11715,*,SE_210,RP11-472N13.3,ENSG00000237797,correlation,correlation,369,,MNA-HR
SE_211,chr10,31982151,32011930,29780,*,SE_211,RP11-472N13.3,ENSG00000237797,correlation,correlation,704,MES,MES
SE_212,chr10,33410765,33446086,35322,*,SE_212,ITGB1,ENSG00000150093,correlation,correlation,140,,MES
SE_213,chr10,33522124,33593313,71190,*,SE_213,NRP1,ENSG00000099250,correlation,correlation,1051,,MES
SE_214,chr10,45422228,45448874,26647,*,SE_214,C10orf10,ENSG00000165507,correlation,correlation,69,,MES
SE_215,chr10,50146800,50174882,28083,*,SE_215,VSTM4,ENSG00000165633,correlation,correlation,654,MNA-LR,MNA-LR
SE_216,chr10,50828509,50871608,43100,*,SE_216,SLC18A3,ENSG00000187714,correlation,correlation,735,,MNA-HR
SE_217,chr10,60541221,60606430,65210,*,SE_217,BICC1,ENSG00000122870,correlation,correlation,707,,MNA-LR
SE_218,chr10,62049410,62068733,19324,*,SE_218,CCDC6,ENSG00000108091,correlation,correlation,103,,MES
SE_219,chr10,62277515,62292013,14499,*,SE_219,ANK3,ENSG00000151150,correlation,correlation,520,MYCN,MYCN
SE_220,chr10,63682994,63704971,21978,*,SE_220,ARID5B,ENSG00000150347,correlation,correlation,77,,MES
SE_221,chr10,63723845,63822463,98619,*,SE_221,ARID5B,ENSG00000150347,correlation,correlation,1305,MES,MES
SE_222,chr10,65458619,65484249,25631,*,SE_222,RP11-170M17.2,ENSG00000213609,correlation,correlation,592,MES,MES
SE_223,chr10,71088053,71109819,21767,*,SE_223,SRGN,ENSG00000122862,correlation,correlation,505,,MES
