SE_id,chrom,chromstart,chromend,overlapping_samples,sample_ids,limma_pval,limma_fdr,signature_genes_within_500k,signature_genes_fantom5_enhancer,neural_crest_SE_overlap
chr10:14703225,chr10,14685600,14720850,2,",700ADRN,SH-SY5Y",0.013778545,0.05714671,",FAM107B:ADRN:39183",,
chr10:16951350,chr10,16880100,17022600,4,",717MES,753ADRN,SH-EP2,SH-SY5Y",0.077505634,0.181173508,",VIM:MES:247657",",VIM:MES",
chr10:21175725,chr10,21162300,21189150,2,",753ADRN,SH-SY5Y",0.015716032,0.060988774,,,
chr10:21246300,chr10,21233850,21258750,3,",691ADRN,753ADRN,SH-SY5Y",0.024775113,0.081537105,,,
chr10:29538450,chr10,29527500,29549400,2,",691ADRN,SH-SY5Y",0.305470478,0.468350492,",SVIL:MES:374501",,
chr10:34489200,chr10,34464150,34514250,2,",691MES,700ADRN",0.20107915,0.34452943,,,
chr10:43371300,chr10,43357350,43385250,3,",700MES,700ADRN,SH-SY5Y",0.486218072,0.63312657,",RET:ADRN:42266",,
chr10:43460100,chr10,43418550,43501650,4,",700MES,700ADRN,753ADRN,SH-SY5Y",0.455180725,0.606178177,",RET:ADRN:42266",,
chr10:43582875,chr10,43530250,43635500,4,",700MES,700ADRN,717MES,SH-SY5Y",0.750079651,0.841505322,",RET:ADRN:42266",,
chr10:44382650,chr10,44333500,44431800,2,",SH-EP2,SH-SY5Y",0.792352946,0.869234717,",CXCL12:MES:448745",,
chr10:45623850,chr10,45586200,45661500,2,",700ADRN,717MES",0.713338529,0.815384205,",ZNF22:ADRN:89928",,
chr10:4699575,chr10,4690650,4708500,2,",691MES,SH-EP2",4.35E-05,0.001901557,,,
chr10:50826675,chr10,50800500,50852850,2,",700ADRN,711ADRN",0.222416812,0.369656742,,,
chr10:51076875,chr10,51054750,51099000,2,",700ADRN,711ADRN",0.12324622,0.247684664,,,
chr10:54291900,chr10,54275100,54308700,2,",SH-EP2,SH-SY5Y",0.626378851,0.746618551,",DKK1:ADRN:201060",",DKK1:ADRN",
chr10:54412725,chr10,54348750,54476700,2,",SH-EP2,SH-SY5Y",0.229557284,0.378496236,",DKK1:ADRN:201060",,
chr10:55457625,chr10,55446300,55468950,2,",691ADRN,SH-SY5Y",0.000506916,0.007602361,,,
chr10:60403350,chr10,60389700,60417000,4,",691MES,753ADRN,SH-EP2,SH-SY5Y",0.151912241,0.28854645,,,
chr10:60727500,chr10,60711750,60743250,3,",700ADRN,753ADRN,SH-SY5Y",0.417674963,0.572322735,",PHYHIPL:ADRN:60347",",PHYHIPL:ADRN",
chr10:60844050,chr10,60812100,60876000,3,",691MES,717MES,SH-SY5Y",0.261500369,0.417496266,",PHYHIPL:ADRN:60347",,
chr10:62282325,chr10,62271300,62293350,2,",691ADRN,700ADRN",0.13060949,0.258112928,,,
chr10:63747000,chr10,63721800,63772200,2,",691MES,717MES",0.018895848,0.068271522,,,
chr10:63815700,chr10,63775800,63855600,3,",691MES,717MES,SH-EP2",0.00392904,0.026803647,,,
chr10:64199950,chr10,64178600,64221300,2,",691MES,SH-EP2",0.004129647,0.027344513,,,
chr10:65471950,chr10,65456000,65487900,5,",691ADRN,700MES,700ADRN,753ADRN,SH-SY5Y",0.402299875,0.559344424,,,
chr10:65605925,chr10,65596000,65615850,2,",753ADRN,SH-SY5Y",0.058130882,0.147542956,,,
chr10:73007925,chr10,72960750,73055100,7,",691MES,691ADRN,700MES,711ADRN,717MES,753ADRN,SH-SY5Y",0.173462208,0.312006699,,,ncc
chr10:73602450,chr10,73593300,73611600,2,",691ADRN,711ADRN",0.992588999,0.995397755,,,ncc
chr10:74056500,chr10,73996800,74116200,8,",691MES,691ADRN,700MES,700ADRN,711ADRN,717MES,753ADRN,SH-SY5Y",0.655318889,0.766460234,,,ncc
chr10:76178475,chr10,76172850,76184100,2,",691ADRN,SH-SY5Y",0.118983821,0.241736762,",VCL:MES:414979",,
chr10:76344450,chr10,76334550,76354350,2,",691ADRN,SH-SY5Y",0.052077033,0.136733063,,,
chr10:78309800,chr10,78296700,78322900,2,",691ADRN,SH-EP2",0.447798584,0.600194553,,,
chr10:78735000,chr10,78722250,78747750,2,",691ADRN,SH-SY5Y",0.001445288,0.015238508,,,
chr10:79176075,chr10,79143600,79208550,3,",700ADRN,SH-EP2,SH-SY5Y",0.54419008,0.686745567,,,
chr10:79275400,chr10,79251900,79298900,2,",SH-EP2,SH-SY5Y",0.707614631,0.810157968,,,
chr10:80045925,chr10,80010300,80081550,6,",691ADRN,711ADRN,717MES,753ADRN,SH-EP2,SH-SY5Y",0.179156614,0.31914072,,,
chr10:80214975,chr10,80186850,80243100,4,",700MES,711ADRN,753ADRN,SH-SY5Y",0.322534788,0.48423922,,,
chr10:80387625,chr10,80372100,80403150,2,",711ADRN,SH-SY5Y",0.262576282,0.41881169,,,
chr10:80512500,chr10,80482200,80542800,3,",700ADRN,717MES,SH-SY5Y",0.085588302,0.192967699,,,
chr10:80617200,chr10,80603700,80630700,2,",700ADRN,SH-SY5Y",0.329227113,0.489861649,,,
chr10:80725050,chr10,80701200,80748900,4,",691MES,711ADRN,717MES,SH-SY5Y",0.978518283,0.990436898,",ZCCHC24:MES:95083",,ncc
chr10:80778000,chr10,80761200,80794800,4,",691ADRN,700ADRN,711ADRN,SH-SY5Y",0.670519141,0.778214254,",ZCCHC24:MES:95083",,
chr10:80957200,chr10,80804100,81110300,9,",691MES,691ADRN,700MES,700ADRN,711ADRN,717MES,753ADRN,SH-EP2,SH-SY5Y",0.426244406,0.579720297,",ZCCHC24:MES:95083",",ZCCHC24:MES",ncc
chr10:8288325,chr10,8277300,8299350,2,",691ADRN,700ADRN",0.018781774,0.068007208,",GATA3:ADRN:180634",,
chr10:8344275,chr10,8329200,8359350,5,",691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.01903261,0.06861648,",GATA3:ADRN:180634",,
chr10:84415050,chr10,84364050,84466050,3,",700ADRN,753ADRN,SH-SY5Y",0.007601357,0.039853174,,,
chr10:8681100,chr10,8666100,8696100,3,",700ADRN,753ADRN,SH-SY5Y",1.74E-05,0.001334454,,,
chr10:88015200,chr10,87999300,88031100,4,",691ADRN,700ADRN,711ADRN,SH-SY5Y",0.00029444,0.005967787,,,
chr10:89915025,chr10,89902650,89927400,2,",SH-EP2,SH-SY5Y",0.353638572,0.513765129,",PAPSS2:MES:483175",,
chr10:89995425,chr10,89981850,90009000,2,",691MES,SH-SY5Y",0.865548921,0.921714165,,,
chr10:90647925,chr10,90631350,90664500,4,",691MES,700ADRN,711ADRN,SH-EP2",0.357688918,0.518290306,",ACTA2:MES:48080,LIPA:MES:20904",,
chr10:91045600,chr10,91032700,91058500,3,",691MES,711ADRN,SH-EP2",0.170056362,0.308552045,",ACTA2:MES:48080,LIPA:MES:20904",,
chr10:91091750,chr10,91085400,91098100,2,",691MES,SH-EP2",0.14780553,0.282921518,",ACTA2:MES:48080,LIPA:MES:20904",,
chr10:9266400,chr10,9243900,9288900,2,",700MES,SH-SY5Y",0.012682353,0.054185272,,,
chr10:9328500,chr10,9309900,9347100,2,",700ADRN,SH-SY5Y",0.010146065,0.047234622,,,
chr10:93342000,chr10,93305400,93378600,3,",691MES,717MES,SH-EP2",0.008511057,0.042351427,,,
chr10:94974000,chr10,94923900,95024100,2,",700MES,717MES",9.18E-07,0.000819062,",CYP26A1:MES:90254",,
chr10:97213650,chr10,97186200,97241100,2,",691MES,717MES",0.034211675,0.100494265,",PDLIM1:MES:135295",,
chr10:98889225,chr10,98873700,98904750,2,",691ADRN,753ADRN",0.004073713,0.027190807,",SLIT1:ADRN:3467",,ncc
chr10:98941875,chr10,98934600,98949150,2,",691ADRN,711ADRN",0.09576815,0.207114628,",SLIT1:ADRN:3467",,ncc
chr11:10054425,chr11,10042050,10066800,2,",691ADRN,711ADRN",0.397689881,0.554962705,,,
chr11:100631475,chr11,100621950,100641000,2,",700ADRN,SH-SY5Y",0.053815763,0.139534786,,,
chr11:103404075,chr11,103395300,103412850,3,",691ADRN,SH-EP2,SH-SY5Y",0.064097325,0.157821858,,,
chr11:111813625,chr11,111805250,111822000,2,",700MES,SH-EP2",0.272362888,0.430425032,",PTS:ADRN:275087",,
chr11:112656300,chr11,112639500,112673100,2,",717MES,SH-SY5Y",0.835691127,0.903205084,",NCAM1:ADRN:32682",,
chr11:112707300,chr11,112702650,112711950,3,",691ADRN,711ADRN,SH-SY5Y",0.812102005,0.886362356,",NCAM1:ADRN:32682",",NCAM1:ADRN",
chr11:112886775,chr11,112864650,112908900,3,",691ADRN,700ADRN,SH-SY5Y",0.010853292,0.049939846,",NCAM1:ADRN:32682",,
chr11:113002350,chr11,112979700,113025000,4,",691ADRN,700ADRN,711ADRN,SH-SY5Y",0.000428346,0.007415744,",NCAM1:ADRN:32682",,
chr11:113041900,chr11,113028900,113054900,2,",691ADRN,753ADRN",0.00036996,0.007067518,",NCAM1:ADRN:32682",,
chr11:115071600,chr11,115059000,115084200,2,",691ADRN,700ADRN",0.003247497,0.024288688,",CADM1:ADRN:197341",,
chr11:115155725,chr11,115133550,115177900,4,",691ADRN,700ADRN,711ADRN,753ADRN",0.002241047,0.019399065,",CADM1:ADRN:197341",,
chr11:115617450,chr11,115607550,115627350,2,",711ADRN,SH-SY5Y",0.155820526,0.294156623,",CADM1:ADRN:197341",,
chr11:116246700,chr11,116221500,116271900,2,",753ADRN,SH-SY5Y",0.000180565,0.004932905,,,
chr11:116295375,chr11,116280000,116310750,2,",753ADRN,SH-SY5Y",2.96E-06,0.000819062,,,
chr11:116373150,chr11,116364150,116382150,3,",691ADRN,700ADRN,SH-SY5Y",1.33E-05,0.001334454,,,
chr11:117324525,chr11,117308100,117340950,3,",691ADRN,700ADRN,SH-SY5Y",0.002015939,0.018392129,,,
chr11:117418650,chr11,117345750,117491550,3,",691ADRN,700ADRN,SH-SY5Y",0.002441254,0.020164523,,,
chr11:118789050,chr11,118765500,118812600,5,",691MES,691ADRN,711ADRN,717MES,SH-EP2",0.246509344,0.398927488,",HYOU1:MES:115357",",HYOU1:MES",ncc
chr11:119582400,chr11,119562150,119602650,3,",691ADRN,700ADRN,711ADRN",0.089799188,0.198041027,,,ncc
chr11:119762400,chr11,119739450,119785350,2,",700ADRN,SH-SY5Y",8.50E-05,0.003283496,,,
chr11:12005700,chr11,11978700,12032700,3,",691MES,SH-EP2,SH-SY5Y",0.191489409,0.336066947,",DKK3:MES:1783,MICAL2:MES:73422",",DKK3:MES",
chr11:120073200,chr11,120039000,120107400,2,",691MES,717MES",0.022979963,0.077944284,,,ncc
chr11:121539275,chr11,121509300,121569250,3,",700MES,717MES,SH-EP2",0.017912523,0.066156918,,,
chr11:12166375,chr11,12058700,12274050,2,",691MES,SH-EP2",0.00803467,0.041024567,",DKK3:MES:1783,MICAL2:MES:73422",",MICAL2:MES",
chr11:122040100,chr11,121998500,122081700,2,",691MES,SH-EP2",0.013458545,0.056342826,,,
chr11:122391450,chr11,122383200,122399700,2,",691ADRN,700MES",0.025667921,0.084142178,,,
chr11:12302150,chr11,12288100,12316200,2,",691MES,SH-EP2",0.032614625,0.097539228,",DKK3:MES:1783,MICAL2:MES:73422",",MICAL2:MES",
chr11:123025050,chr11,122967000,123083100,2,",717MES,SH-EP2",0.092844974,0.202238987,,,ncc
chr11:12346200,chr11,12337800,12354600,2,",691MES,SH-SY5Y",0.052050198,0.136733063,",DKK3:MES:1783,MICAL2:MES:73422",,
chr11:12404475,chr11,12394500,12414450,2,",691MES,700ADRN",0.209451777,0.355213115,",DKK3:MES:1783,MICAL2:MES:73422",,
chr11:12477600,chr11,12446700,12508500,2,",700ADRN,717MES",0.501059792,0.648063327,",DKK3:MES:1783,MICAL2:MES:73422",,
chr11:125990100,chr11,125959800,126020400,6,",691ADRN,700MES,700ADRN,711ADRN,717MES,SH-SY5Y",0.877364008,0.928185221,,,ncc
chr11:127912400,chr11,127891300,127933500,2,",SH-EP2,SH-SY5Y",0.744767261,0.836918992,",ETS1:MES:119047",,
chr11:12816300,chr11,12756450,12876150,6,",691MES,691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.206671365,0.351934229,,,
chr11:128642150,chr11,128576500,128707800,2,",717MES,SH-EP2",0.001111169,0.012563012,",ETS1:MES:119047",",ETS1:MES",
chr11:133812375,chr11,133795200,133829550,6,",691ADRN,700MES,700ADRN,711ADRN,717MES,SH-SY5Y",0.216102375,0.362712085,",JAM3:MES:109269",,
chr11:15614550,chr11,15576600,15652500,2,",691MES,717MES",0.501039363,0.648063327,,,
chr11:15861900,chr11,15836400,15887400,3,",691MES,717MES,SH-SY5Y",0.715632511,0.816882715,,,
chr11:17833800,chr11,17813700,17853900,2,",691MES,717MES",0.196161807,0.339709153,,,
chr11:1951950,chr11,1843200,2060700,7,",691MES,691ADRN,700MES,700ADRN,717MES,753ADRN,SH-SY5Y",0.418339394,0.572674854,",TH:ADRN:4985",",TH:ADRN",ncc
chr11:19578600,chr11,19565850,19591350,2,",700ADRN,SH-SY5Y",0.073637145,0.174835622,,,
chr11:19619475,chr11,19593300,19645650,2,",SH-EP2,SH-SY5Y",0.081866075,0.187301993,,,
chr11:19775400,chr11,19649250,19901550,5,",691ADRN,700MES,700ADRN,753ADRN,SH-SY5Y",0.164100195,0.303041641,,,
chr11:20477850,chr11,20464650,20491050,2,",691ADRN,SH-SY5Y",0.02651085,0.086056705,,,
chr11:2167275,chr11,2146650,2187900,2,",691MES,717MES",0.192178871,0.336566158,",TH:ADRN:4985",,ncc
chr11:2203950,chr11,2188050,2219850,3,",691ADRN,711ADRN,753ADRN",0.192178871,0.336566158,",TH:ADRN:4985",",TH:ADRN",ncc
chr11:27247525,chr11,27221300,27273750,2,",691MES,SH-EP2",0.000727841,0.009524979,",FIBIN:MES:205673",,
chr11:27671625,chr11,27656700,27686550,3,",700ADRN,753ADRN,SH-SY5Y",0.080381779,0.186549849,,,
chr11:34318500,chr11,34255800,34381200,2,",691MES,717MES",0.011912838,0.053067372,",CD59:MES:497775",,
chr11:35061775,chr11,35049500,35074050,2,",700ADRN,SH-EP2",0.167380359,0.305933156,",CD44:MES:86366",",CD44:MES",
chr11:36171300,chr11,36150900,36191700,3,",691ADRN,717MES,SH-SY5Y",0.334918826,0.496324451,,,
chr11:36645775,chr11,36632250,36659300,3,",691ADRN,753ADRN,SH-SY5Y",0.034405076,0.100494265,,,
chr11:42793200,chr11,42777900,42808500,2,",691ADRN,753ADRN",0.119998977,0.242625668,,,
chr11:42986025,chr11,42969750,43002300,3,",691ADRN,700ADRN,753ADRN",0.023452526,0.078903032,,,
chr11:43702450,chr11,43683500,43721400,5,",691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.001891132,0.018143702,,,
chr11:43952675,chr11,43911450,43993900,6,",691MES,691ADRN,700MES,700ADRN,753ADRN,SH-SY5Y",0.803665486,0.879323264,,,
chr11:44793975,chr11,44746500,44841450,5,",691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.000388991,0.007240529,,,ncc
chr11:45060300,chr11,45039150,45081450,3,",691MES,691ADRN,700ADRN",0.622694296,0.743475517,,,
chr11:45111600,chr11,45096150,45127050,2,",691ADRN,700ADRN",0.900873208,0.940484468,,,
chr11:45902325,chr11,45892050,45912600,3,",691ADRN,700ADRN,711ADRN",0.392152895,0.550006846,,,
chr11:46266850,chr11,46257300,46276400,2,",711ADRN,SH-EP2",0.004109211,0.027318034,",ARHGAP1:MES:445815",,
chr11:56621225,chr11,56606700,56635750,2,",700MES,717MES",0.372316536,0.530423775,,,
chr11:56910025,chr11,56879750,56940300,3,",700MES,753ADRN,SH-SY5Y",0.329210404,0.489861649,,,
chr11:61732500,chr11,61713000,61752000,5,",691MES,700MES,711ADRN,717MES,SH-EP2",0.011955166,0.053067372,",ASRGL1:ADRN:80727",,
chr11:62202900,chr11,62185500,62220300,3,",700MES,700ADRN,SH-EP2",0.306566294,0.469164992,",ASRGL1:ADRN:80727",,
chr11:62326200,chr11,62302500,62349900,3,",700ADRN,717MES,SH-EP2",0.137348234,0.26729832,",ASRGL1:ADRN:80727",,ncc
chr11:62687700,chr11,62672850,62702550,2,",711ADRN,SH-SY5Y",0.82826895,0.898106407,,,
chr11:63807600,chr11,63735300,63879900,6,",691ADRN,700ADRN,711ADRN,717MES,753ADRN,SH-SY5Y",0.096811419,0.208961791,",C11orf95:ADRN:199187",,ncc
chr11:63909900,chr11,63897300,63922500,2,",691ADRN,711ADRN",0.31666637,0.478558306,",C11orf95:ADRN:199187",,ncc
chr11:65892450,chr11,65871600,65913300,2,",SH-EP2,SH-SY5Y",0.304719632,0.468286713,",EFEMP2:MES:231195",,
chr11:67168650,chr11,67112100,67225200,2,",717MES,SH-EP2",0.004365352,0.028274757,,,ncc
chr11:68131950,chr11,68090400,68173500,2,",691ADRN,717MES",0.855856925,0.914160803,",GAL:ADRN:9668",,ncc
chr11:68439000,chr11,68416350,68461650,6,",691ADRN,700MES,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.013436321,0.056342826,",GAL:ADRN:9668",,
chr11:68887500,chr11,68868450,68906550,2,",691ADRN,711ADRN",0.002647636,0.021054408,",GAL:ADRN:9668",,ncc
chr11:68953800,chr11,68918550,68989050,5,",691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.001836334,0.017832908,",CCND1:ADRN:466822,GAL:ADRN:9668",,
chr11:7177300,chr11,7163000,7191600,3,",700MES,700ADRN,SH-SY5Y",0.627790005,0.747411883,,,
chr11:72071925,chr11,71998350,72145500,8,",691MES,691ADRN,700MES,700ADRN,711ADRN,717MES,753ADRN,SH-SY5Y",0.023796869,0.079738702,",PHOX2A:ADRN:43130",,
chr11:72552300,chr11,72520200,72584400,2,",691MES,717MES",0.147929482,0.282921518,,,
chr11:73071600,chr11,73016100,73127100,3,",691MES,717MES,SH-EP2",0.022467776,0.077471874,",MRPL48:ADRN:371816",,ncc
chr11:75038775,chr11,75010050,75067500,5,",691MES,691ADRN,700ADRN,717MES,SH-SY5Y",0.845822245,0.907525224,",MAP6:ADRN:2871,SERPINH1:MES:47300",,ncc
chr11:75351375,chr11,75320400,75382350,3,",691ADRN,700ADRN,SH-SY5Y",0.957279531,0.977872514,",MAP6:ADRN:2871,SERPINH1:MES:47300",,
chr11:76817850,chr11,76791300,76844400,2,",691MES,717MES",0.012920863,0.054781823,,,ncc
chr11:77748500,chr11,77736500,77760500,2,",700MES,SH-EP2",0.050088388,0.133195041,,,
chr11:78028275,chr11,78016500,78040050,2,",700ADRN,711ADRN",0.547557226,0.689424325,",NARS2:ADRN:119659",,
chr11:78144625,chr11,78123000,78166250,8,",691MES,691ADRN,700MES,700ADRN,711ADRN,717MES,753ADRN,SH-SY5Y",0.485670605,0.63312657,",NARS2:ADRN:119659",,
chr11:78502725,chr11,78415500,78589950,4,",691ADRN,700ADRN,711ADRN,SH-SY5Y",0.003366322,0.024538714,",NARS2:ADRN:119659",,
chr11:78656400,chr11,78602700,78710100,5,",691MES,691ADRN,700ADRN,711ADRN,SH-SY5Y",0.004703472,0.029610493,",NARS2:ADRN:119659,TENM4:ADRN:315145",,
chr11:78776850,chr11,78717150,78836550,4,",700ADRN,711ADRN,SH-EP2,SH-SY5Y",0.087271512,0.195215683,",NARS2:ADRN:119659,TENM4:ADRN:315145",,ncc
chr11:8086800,chr11,8076150,8097450,3,",691ADRN,753ADRN,SH-SY5Y",0.519890594,0.665684259,",TUB:ADRN:2308",,
chr11:8108475,chr11,8100600,8116350,2,",691ADRN,711ADRN",0.449174299,0.601553332,",TUB:ADRN:2308",,
chr11:8269200,chr11,8244600,8293800,4,",691ADRN,711ADRN,753ADRN,SH-SY5Y",0.009453141,0.045017535,",TUB:ADRN:2308",,
chr11:83349225,chr11,83289150,83409300,2,",700ADRN,717MES",0.836166638,0.903205084,,,
chr11:83577675,chr11,83567850,83587500,5,",691ADRN,700MES,700ADRN,711ADRN,753ADRN",0.093969894,0.204154201,,,
chr11:86382575,chr11,86368750,86396400,2,",700MES,SH-EP2",0.039095072,0.109756773,,,
chr11:86648850,chr11,86627400,86670300,2,",691MES,717MES",0.001689966,0.016818706,,,
chr11:93243525,chr11,93207300,93279750,2,",700ADRN,SH-SY5Y",0.444280876,0.596441693,,,
chr11:94468050,chr11,94458150,94477950,3,",691MES,700ADRN,SH-SY5Y",0.309202597,0.471820171,,,
chr11:94666500,chr11,94649700,94683300,3,",691MES,700ADRN,717MES",0.035876679,0.103160969,,,
chr11:95263950,chr11,95243850,95284050,2,",691MES,700ADRN",0.379444492,0.536255737,,,
chr11:95868250,chr11,95717000,96019500,4,",691MES,700MES,717MES,SH-EP2",6.70E-05,0.002782159,",MAML2:MES:56844",",MAML2:MES",
chr12:103408875,chr12,103401000,103416750,2,",691ADRN,711ADRN",0.000289445,0.005938987,",ASCL1:ADRN:49549",,
chr12:105031100,chr12,104978500,105083700,5,",691MES,700ADRN,717MES,SH-EP2,SH-SY5Y",0.731101682,0.826895811,,,
chr12:105120600,chr12,105103650,105137550,3,",691ADRN,700ADRN,SH-SY5Y",0.433026238,0.58749221,,,ncc
chr12:106493250,chr12,106451700,106534800,2,",717MES,SH-EP2",0.009533942,0.045272603,",CKAP4:MES:106913",,
chr12:109084675,chr12,109069650,109099700,4,",691MES,691ADRN,711ADRN,SH-EP2",0.419055415,0.572755017,,,
chr12:110064525,chr12,110026800,110102250,3,",691ADRN,753ADRN,SH-SY5Y",0.033792664,0.099934888,,,ncc
chr12:110140650,chr12,110130000,110151300,2,",691ADRN,SH-SY5Y",0.01008287,0.047072274,,,ncc
chr12:110178900,chr12,110151900,110205900,2,",691ADRN,SH-SY5Y",0.005221335,0.031441517,,,ncc
chr12:111616025,chr12,111605800,111626250,3,",711ADRN,753ADRN,SH-SY5Y",0.030127268,0.094036623,,,
chr12:111645450,chr12,111626700,111664200,2,",711ADRN,SH-SY5Y",0.030147232,0.094036623,,,
chr12:113284500,chr12,113220300,113348700,4,",700ADRN,711ADRN,753ADRN,SH-SY5Y",0.010054404,0.047071603,,,
chr12:115450500,chr12,115417500,115483500,4,",691MES,700MES,717MES,SH-SY5Y",0.171373537,0.309253875,,,
chr12:115668900,chr12,115634400,115703400,2,",717MES,SH-SY5Y",0.394341345,0.551679558,,,
chr12:116578900,chr12,116548200,116609600,2,",753ADRN,SH-SY5Y",0.318383466,0.4801243,,,
chr12:117385850,chr12,117347500,117424200,4,",691ADRN,700ADRN,753ADRN,SH-SY5Y",0.002168043,0.019061459,",RNFT2:ADRN:171405",,
chr12:11861600,chr12,11836500,11886700,3,",700ADRN,SH-EP2,SH-SY5Y",0.55882635,0.700429408,,,
chr12:119515375,chr12,119495000,119535750,2,",753ADRN,SH-SY5Y",1.39E-06,0.000819062,,,
chr12:119734700,chr12,119717400,119752000,3,",691ADRN,700ADRN,753ADRN",0.004460772,0.028514628,,,
chr12:119783650,chr12,119756800,119810500,2,",711ADRN,753ADRN",0.004837835,0.030227377,,,
chr12:120676650,chr12,120647100,120706200,2,",717MES,SH-EP2",0.076915933,0.180127359,,,ncc
chr12:124890450,chr12,124829100,124951800,5,",691ADRN,700MES,717MES,753ADRN,SH-EP2",0.936921887,0.964188345,,,ncc
chr12:125013900,chr12,124959300,125068500,7,",691MES,691ADRN,700MES,700ADRN,711ADRN,717MES,753ADRN",0.925658209,0.953778018,,,ncc
chr12:125168475,chr12,125083350,125253600,4,",691MES,691ADRN,700ADRN,717MES",0.282914081,0.443127029,,,ncc
chr12:125327100,chr12,125279400,125374800,2,",717MES,753ADRN",0.326407721,0.487052375,,,ncc
chr12:12658575,chr12,12639750,12677400,2,",711ADRN,SH-SY5Y",0.282137528,0.442370351,,,
chr12:127601175,chr12,127590750,127611600,2,",691ADRN,700ADRN",0.247239711,0.399331777,,,
chr12:128935950,chr12,128899200,128972700,3,",700ADRN,711ADRN,753ADRN",0.012604788,0.053992673,,,
chr12:1312300,chr12,1287800,1336800,2,",700ADRN,SH-EP2",0.307147995,0.469622786,,,
chr12:131985475,chr12,131971350,131999600,2,",700ADRN,753ADRN",0.000203562,0.004932905,,,
chr12:132063350,chr12,132056200,132070500,2,",691ADRN,753ADRN",0.000207764,0.004932905,,,ncc
chr12:14562300,chr12,14535450,14589150,2,",691ADRN,SH-SY5Y",0.586783124,0.719762671,",MGP:MES:258747",,
chr12:15324525,chr12,15297600,15351450,2,",691MES,SH-SY5Y",0.470572282,0.619232884,",MGP:MES:258747",,
chr12:20129100,chr12,20088900,20169300,4,",700ADRN,711ADRN,717MES,SH-SY5Y",0.326459895,0.487052375,",PDE3A:MES:352878",",PDE3A:MES",
chr12:2126175,chr12,2107050,2145300,2,",691ADRN,700ADRN",0.56402543,0.704819748,,,
chr12:27339375,chr12,27322750,27356000,2,",691MES,700MES",0.003260485,0.024288688,",STK38L:MES:41077",",STK38L:MES",
chr12:29321375,chr12,29298250,29344500,3,",700MES,700ADRN,711ADRN",0.272706112,0.430425032,,,
chr12:32241375,chr12,32228250,32254500,2,",700ADRN,SH-SY5Y",0.067969976,0.163729697,,,
chr12:39790875,chr12,39758100,39823650,4,",691ADRN,700ADRN,711ADRN,SH-SY5Y",0.003586532,0.025365177,",KIF21A:ADRN:13542",,
chr12:41130150,chr12,41113050,41147250,2,",691ADRN,SH-SY5Y",2.28E-05,0.001473127,,,
chr12:44778900,chr12,44756850,44800950,2,",700ADRN,SH-SY5Y",0.006129164,0.035126449,",NELL2:ADRN:468494",,
chr12:46778700,chr12,46747100,46810300,2,",717MES,SH-EP2",0.025863814,0.084617438,",SLC38A2:MES:19545",,
chr12:46859350,chr12,46819500,46899200,2,",717MES,SH-EP2",0.014890464,0.058920167,",SLC38A2:MES:19545",,
