Chromosome,Start,End,Type (NB or hNCC),Gene(s),TF(s),Number of NB cell lines,#cell lines with SE (group I),#cell lines with SE (group II),Median Score over 25 cell lines,"Median score, group I","Median score, group II","Median score, hNCC",FC Score Group I over Group II,Wilcoxon p-value (two sided test),Loadings to PC1,Loadings to PC2,Has 15% overlap with hNCC SEs,Pearson Corr. with gene expression
chr5,168068198,168661101,NB,SLIT3|FBLL1|MIR218-2,,22,18,1,77806.24902,107426.8724,25188.75036,14330.42299,4.264875026,0.046616541,-2.157917578,0.586033765,0,0.77|0.62|0.49
chr4,41681648,41894901,NB,PHOX2B|LIMCH1|LINC00682,PHOX2B,21,18,0,74250.42942,74571.19072,933.2013417,1659.237285,79.90900504,0.001503759,-1.837903365,1.732643089,0,0.94|0.67|0.46
chr22,46386348,46519351,NB,PRR34-AS1|MIRLET7BHG|PRR34,,22,15,3,73386.66486,66950.25575,73835.73983,31080.35741,0.906745919,0.412030075,-1.813936218,-0.277007377,1,0.83|0.82|0.66
chr4,95963048,96493001,NB,UNC5C|BMPR1B,,24,18,3,71189.54663,76057.63844,59647.70921,12233.09643,1.275114157,0.813533835,-2.068749631,0.245027312,0,0.78|0.57
chr18,46056048,46638851,NB,,,25,18,3,69620.64798,58191.44148,92942.54106,120570.1284,0.626101254,0.061654135,-2.127931292,-0.290150689,1,
chr11,65133298,65358501,NB,LTBP3|MAP3K11|FRMD8|EHBP1L1|NEAT1|PCNX3|SCYL1,,25,18,3,67178.54375,55917.47104,152576.5115,114498.7307,0.366488069,0.003007519,-2.140645235,-0.450785876,1,0.59|0.48|0.48|0.44|0.43|0.39|0.39
chr10,8076298,8407251,NB,GATA3|GATA3-AS1|TAF3,GATA3,25,18,3,66468.59364,68112.06995,60515.55922,5761.304019,1.125529877,0.356390977,-1.980034584,0.422741949,0,0.86|0.78|0.39
chr14,100828298,101385401,NB,DLK1|BEGAIN|RTL1|MEG8|MEG9|MEG3|LINC00523|SLC25A47,,20,16,1,64415.0091,95717.64344,52525.06335,51574.94283,1.822323237,0.221052632,-2.165233078,0.344047562,0,0.65|0.64|0.58|0.52|0.44|0.39|0.38|0.37
chr1,245315048,246080151,NB,KIF26B|SMYD3,,19,14,3,64241.38161,67556.72573,50281.77036,15906.13904,1.34356299,0.962406015,-1.914239293,0.234802721,0,0.76|0.42
chr2,216927148,217675401,NB,Mar-04,,23,16,3,63819.76999,62427.43477,133256.5627,92323.25814,0.468475499,0.261654135,-2.085546618,-0.252254566,0,0.68
chr17,38214298,38529251,NB,IGFBP4|TNS4,,25,18,3,63597.10579,58803.46223,97859.68258,55395.57124,0.600895698,0.061654135,-2.06922443,-0.179458837,1,0.4|0.39
chr12,124836498,125264001,NB,,,24,18,2,63429.00446,62455.25095,72412.99935,88587.20431,0.862486729,0.813533835,-2.077504913,-0.078680738,1,
chr14,77367698,77539201,NB,,,24,18,2,61745.9357,54008.89249,63900.15038,53970.15781,0.845207596,0.261654135,-2.028250835,-0.087854503,1,
chr2,207901248,208234151,NB,KLF7,KLF7,24,18,3,61321.03716,60081.03262,81839.82776,77223.11073,0.73412951,0.6,-2.003406871,-0.081929115,1,0.44
chr17,59199448,59494851,NB,TBX2|C17orf82|TBX2-AS1,TBX2,25,18,3,61278.92989,59359.56639,123530.3576,20735.71825,0.480526144,0.034586466,-2.062192453,-0.148972816,0,0.69|0.69|0.53
chr3,127888898,128218251,NB,GATA2|GATA2-AS1|RUVBL1|DNAJB8|DNAJB8-AS1|EEFSEC,GATA2,19,16,0,59940.56858,79142.0192,21534.21586,4821.445915,3.675175345,0.02406015,-1.927547097,0.859945004,0,0.87|0.58|0.56|0.56|0.53|0.5
chr11,78404648,78841551,NB,TENM4,,23,18,1,59718.96684,59790.91372,22258.89324,31833.92313,2.68615843,0.306766917,-1.828407973,0.487274451,0,0.69
chr4,174337698,174522651,NB,HAND2|HAND2-AS1|HMGB2|SAP30,HAND2|HMGB2,25,18,3,58311.02017,59465.30213,50516.5303,5528.160607,1.177145417,0.962406015,-1.874943022,0.357498237,0,0.78|0.77|0.75|0.7
chr7,92213648,92481401,NCC,,,25,18,3,57406.89761,51737.12047,121125.6452,102595.7616,0.427135974,0.006015038,-1.878384201,-0.417514592,1,
chr19,42539098,42874801,NB,CIC|ERF|ARHGEF1|RABAC1,CIC|ERF,24,17,3,56508.81042,54730.73943,115098.7739,67043.77087,0.475511055,0.016541353,-2.053147074,-0.1902933,0,0.51|0.49|0.45|0.42
chr2,47177398,47583751,NB,MCFD2|C2orf61|TTC7A|EPCAM,,24,17,3,55492.1649,50965.448,95315.30666,104687.1093,0.534703709,0.12481203,-2.011468625,-0.257343312,1,0.53|0.48|0.45|0.38
chr7,92240198,92483751,NB,,,25,18,3,55204.89816,50063.23534,115851.9415,97026.18341,0.432131173,0.016541353,-1.837278163,-0.412647671,1,
chr10,64896148,65632901,NB,JMJD1C-AS1,,18,13,2,55168.56678,53381.09633,105111.6699,74738.80317,0.507851282,0.306766917,-1.979762723,-0.185632189,1,0.5
chr14,103806683,104392051,NB,,,17,10,3,54728.7764,50015.39372,96274.84604,66913.22111,0.519506348,0.12481203,-1.959386504,-0.208897563,1,
chr8,130947548,131583251,NB,ASAP1,,25,18,3,54689.77038,52713.15077,148309.7522,94258.06258,0.355426059,0.010526316,-2.034685651,-0.392722684,1,0.4
chr17,79339298,79703651,NB,TSPAN10,,21,15,2,53782.97308,49357.83701,112394.8411,93091.84969,0.43914682,0.010526316,-1.972100593,-0.285277307,0,0.48
chr22,40568198,41250186,NB,,,19,12,3,52201.40768,46215.62394,107942.4475,70636.6022,0.428150603,0.010526316,-1.908455898,-0.296473597,1,
chr15,74414848,74619451,NB,STRA6|CCDC33|ISLR2|ISLR,,23,18,1,51946.95989,53002.80287,3482.931803,11912.06776,15.21786985,0.001503759,-1.756651293,0.938012051,0,0.86|0.58|0.55|0.51
chr5,14139448,14509951,NCC,TRIO,,25,18,3,51754.52425,38556.91363,179222.6679,132547.6199,0.215134135,0.003007519,-1.950068546,-0.62234701,1,0.39
chr11,71993548,72143067,NB,PHOX2A|CLPB|NUMA1|LRTOMT|PDE2A,PHOX2A,23,18,1,51745,61567.0255,12113.46894,2917.315178,5.082526384,0.001503759,-1.800922399,0.903913885,0,0.84|0.79|0.64|0.59|0.49
chr5,14141248,14511151,NB,TRIO,,25,18,3,51721.9016,38586.3527,179260.8323,132057.6519,0.215252558,0.003007519,-1.950456905,-0.621240838,1,0.39
chr14,104597698,104867101,NB,KIF26A|TMEM179,,21,18,0,51688.12254,57185.91067,171.1797746,454.7450353,334.0693186,0.001503759,-1.412369638,2.826174053,0,0.88|0.55
chr17,55336871,55786301,NB,,,21,17,1,51017.02295,62938.56999,51017.02295,48268.65663,1.233677826,0.6,-2.034770675,0.160154787,0,
chrX,153102348,153360687,NB,ARHGAP4|AVPR2,,21,17,1,50419.03126,48829.93571,61882.74466,22750.27167,0.789071913,0.813533835,-1.81656386,0.120752379,0,0.46|0.41
chr13,35994698,36250001,NB,MAB21L1|NBEA|RFC3,,23,18,2,50195.82446,45424.98982,54822.62308,6461.970398,0.828581109,0.813533835,-1.637180536,0.298806744,0,0.82|0.54|0.48
chr9,14052748,14338051,NB,NFIB,NFIB,25,18,3,49175.28281,43512.17361,81511.95558,21302.64689,0.533813393,0.061654135,-1.810545587,-0.050612755,0,0.43
chr13,107857248,108536501,NB,FAM155A,,17,15,0,49091.95224,51277.52397,56103.94471,44758.92989,0.913973594,0.962406015,-1.711666992,0.070528631,0,0.68
chr15,62998898,63557051,NB,TPM1|LACTB|RPS27L|CA12|APH1B,,16,9,3,48600.56246,37980.49747,153294.7208,192428.5118,0.247761288,0.001503759,-1.821800145,-0.693657964,1,0.77|0.73|0.59|0.52|0.46
chr2,189149998,189568851,NB,COL3A1|GULP1,,21,14,3,47797.44946,40222.26663,67858.89305,31965.21337,0.592733904,0.184962406,-1.726152507,-0.172855838,0,0.52|0.37
chr1,7267448,7788751,NB,PER3,,20,15,3,47696.38873,63910.26415,51689.99179,39114.23047,1.23641467,1,-1.899145228,0.205306927,0,0.39
chr22,36135898,36478001,NB,,,25,18,3,47163.35918,46215.953,74492.73241,45908.15867,0.620408884,0.221052632,-1.759951845,-0.144798285,1,
chr19,1097948,1280251,NB,PLK5|CIRBP-AS1|C19orf24|ATP8B3,,25,18,3,47002.03672,45112.89417,114801.3399,70382.28706,0.392964875,0.010526316,-1.948341501,-0.365143448,1,0.57|0.52|0.47|0.46
chr5,124504848,124950201,NB,ZNF608,,16,15,0,46968.58557,50103.09012,30881.42009,24710.51109,1.622434784,0.356390977,-1.556732335,0.250398866,0,0.59
chr6,158225348,158939851,NB,SYNJ2|C6orf99,,17,10,3,46962.95696,35773.69756,135624.8068,97481.17455,0.263769574,0.001503759,-1.825442531,-0.537852862,1,0.7|0.46
chr22,41608598,42093016,NB,,,19,12,3,46947.7557,43858.43889,123877.392,75702.9186,0.35404716,0.006015038,-1.901432298,-0.371961176,1,
chr9,130550802,130903751,NB,FAM102A|FAM129B,,20,14,2,46905.48765,43117.48265,64663.95854,53399.3689,0.66679312,0.016541353,-1.838393258,-0.192990007,0,0.47|0.41
chr11,44702698,45124801,NB,TP53I11|TSPAN18,,20,18,0,46593.95006,49484.58355,945.0051897,10967.55487,52.3643511,0.001503759,-1.398527583,2.078019932,0,0.67|0.66
chr2,43437698,43769701,NB,ZFP36L2,,23,16,3,46236.49107,42752.55554,61249.17626,33880.79263,0.698010294,0.356390977,-1.856581438,-0.020901974,0,0.53
chr6,43734898,44102651,NB,VEGFA,,21,16,2,45978.81123,48029.5751,44070.39213,69523.59393,1.089837707,0.887218045,-1.819619478,-0.045204782,1,0.46
chr8,141460798,142053951,NB,DENND3,,17,11,3,45924.91091,38660.40407,85540.87708,75764.09424,0.451952393,0.034586466,-1.842778301,-0.278367919,1,0.44
chr5,71287148,71849001,NB,,,22,15,3,45614.4199,39164.50076,166894.9794,77598.94542,0.234665542,0.001503759,-1.833393947,-0.496041166,1,
chr9,132140248,132271551,NB,IER5L,,25,18,3,45420.33552,39640.28529,54363.71342,32154.68618,0.729168094,0.12481203,-1.821340031,0.022085023,1,0.59
chr2,161059348,161380051,NB,ITGB6|TANK,,22,15,3,44513.3503,35123.16662,86192.53853,111845.4906,0.407496603,0.016541353,-1.747030885,-0.457142473,1,0.45|0.38
chr20,30861898,31172779,NB,NOL4L,,25,18,3,44373.52108,43668.01656,57196.12662,39305.78462,0.763478563,0.221052632,-1.834092024,-0.015646055,1,0.43
chr1,97960398,98897051,NB,MIR137HG|DPYD|DPYD-AS1,,13,8,3,44029.10194,37343.93975,241236.4421,85378.80644,0.154802232,0.010526316,-1.846328792,-0.509878809,0,0.78|0.51|0.49
chr2,9303048,9844601,NB,,,12,6,3,43750.54133,34391.82214,121858.7147,118244.2842,0.282227022,0.001503759,-1.805244628,-0.540479763,1,
chr17,1962898,2412699,NB,MIR22HG|TLCD2|HIC1,HIC1,22,15,3,43188.79665,34821.72943,102408.7317,72019.63248,0.340026957,0.003007519,-1.772954666,-0.381877953,1,0.71|0.64|0.57
chr3,177038348,177572851,NB,LINC00578,,21,15,2,43037.60058,44367.64396,43037.60058,47946.71382,1.030904218,1,-1.789690553,-0.028738158,0,0.46
chr10,112392298,112710351,NB,RBM20|GPAM,,24,17,3,42979.45344,46536.99273,29468.57645,28824.79573,1.579207357,0.12481203,-1.723651141,0.212116578,1,0.67|0.51
chr17,15786398,16392751,NB,ADORA2B|TRPV2,,20,13,3,42705.00646,38210.07965,107945.6349,77768.22935,0.353975218,0.003007519,-1.823816122,-0.38144143,0,0.48|0.39
chr17,27898848,28146751,NB,SSH2,,23,17,2,42509.03539,40224.17833,48554.58339,20939.13897,0.828432159,1,-1.654848975,0.063027647,0,0.51
chr15,78879598,79033101,NB,CHRNA3|CHRNB4|CHRNA5|CRABP1|CIB2|IREB2|ADAMTS7|SH2D7|WDR61,,20,18,0,42474.72328,49208.03779,1661.773985,1555.814439,29.6117512,0.001503759,-1.33577924,1.536009499,0,0.93|0.87|0.87|0.85|0.65|0.45|0.45|0.42|0.37
chr4,119631398,119919351,NB,SEC24D|SYNPO2,,24,17,3,42326.7316,41576.70637,45413.18764,48838.34185,0.915520547,0.6,-1.756676532,-0.106252575,1,0.56|0.55
chr17,76693198,77003398,NB,LGALS3BP,,24,17,3,41890.56317,37799.38372,78050.63581,46239.5979,0.484293092,0.034586466,-1.793087408,-0.136702951,1,0.5
chr4,7751148,7990901,NCC,AFAP1|AFAP1-AS1,,25,18,3,41833.25672,31967.09343,119270.6492,84852.84751,0.268021459,0.003007519,-1.686933057,-0.419002389,1,0.65|0.58
chr10,21777698,22043751,NB,,,25,18,3,41758.02633,40387.02501,82828.64561,41236.12613,0.487597313,0.046616541,-1.741089157,-0.173382907,1,
chr4,7758598,7990851,NB,AFAP1|AFAP1-AS1,,25,18,3,41616.58281,31745.54886,118031.7828,84513.56008,0.268957632,0.003007519,-1.682027835,-0.419835572,1,0.65|0.58
chr17,17587284,17754201,NCC,,,25,18,3,41228.31161,39720.11303,49406.59098,33803.07912,0.803943608,0.12481203,-1.758335401,0.005994197,1,
chr14,35725898,36169651,NB,INSM2,INSM2,20,16,2,41190.20441,40956.53766,44694.97308,30819.74225,0.916356692,0.813533835,-1.655290068,0.097751813,1,0.53
chr6,157094698,157511001,NB,,,22,15,3,41044.54844,38473.08201,105881.7471,40623.94765,0.363358965,0.046616541,-1.741228504,-0.236558434,0,
chr10,105368498,105708401,NB,,,22,16,2,41029.08601,40647.85618,36668.85608,36337.029,1.108511705,0.739849624,-1.670567,0.023885376,0,
chr8,131071598,131466551,NCC,ASAP1,,25,18,3,40990.85628,34222.53624,124124.6931,76611.3514,0.275710943,0.006015038,-1.707225242,-0.498238533,1,0.39
chr22,38007544,38363851,NB,LGALS1,,14,8,3,40686.07409,36434.05319,73009.17063,51523.24607,0.499033928,0.006015038,-1.7863441,-0.261971957,1,0.54
chr17,42947448,43261501,NB,PLCD3|CCDC103,,22,15,3,40484.69688,36087.15413,111999.4727,51578.44059,0.32220825,0.006015038,-1.789241927,-0.29888019,1,0.47|0.46
chr6,56313648,56735351,NCC,,,22,16,3,40108.69978,35633.23185,166291.9221,117858.6864,0.214281195,0.001503759,-1.700895047,-0.632009922,1,
chr6,126091298,126449751,NB,NCOA7,,22,16,2,40080.17448,37986.6289,55770.71878,35194.75078,0.681121379,0.470676692,-1.725906618,-0.06842648,0,0.49
chr4,95368048,95946701,NB,PDLIM5|BMPR1B,,18,12,3,39849.98097,37030.96204,68243.18327,56309.89745,0.542632396,0.184962406,-1.554819604,-0.233384417,1,0.71|0.52
chr1,234627848,234775551,NB,,,25,18,3,39292.21846,36242.8574,49374.47586,50602.14464,0.734040347,0.184962406,-1.68652677,-0.084863006,1,
chr1,50532648,50815751,NB,BEND5|ELAVL4|AGBL4,,19,17,0,39231.19245,47725.53406,17.15470189,161.1332786,2782.067236,0.001503759,-1.005628024,3.223210176,0,0.87|0.84|0.65
chr17,75279989,75505101,NCC,,,23,16,3,39107.46724,34938.96029,59075.8894,82056.51732,0.591425041,0.02406015,-1.765643792,-0.275107852,1,
chr11,65237898,65333901,NCC,LTBP3|FRMD8|MAP3K11|PCNX3|SCYL1|EHBP1L1|NEAT1,,25,18,3,38982.76544,34400.72943,94893.85759,62986.04832,0.362517979,0.003007519,-1.745161148,-0.369209416,1,0.59|0.49|0.48|0.41|0.4|0.4|0.38
chr7,18663098,19071501,NB,TWIST1,TWIST1,19,15,3,38955.65183,36309.10115,61834.81954,19112.94343,0.587195069,0.10075188,-1.50719394,-0.017130368,0,0.61
chr10,78825598,79403901,NB,KCNMA1,,15,8,3,38895.03756,24247.98343,233062.1829,131957.6721,0.104040832,0.006015038,-1.697201393,-0.792629174,1,0.76
chr16,2042443,2292801,NB,MIR3677,,19,15,2,38796.68545,34741.87162,78705.96026,39694.88808,0.441413478,0.010526316,-1.735543327,-0.1353151,1,0.4
chr12,53712398,54017698,NB,ATF7|TNS2|IGFBP6|NPFF|RARG,ATF7|RARG,21,14,3,38687.54403,37611.72175,78110.12976,40335.87119,0.481521691,0.061654135,-1.667373108,-0.188820663,1,0.52|0.45|0.44|0.4|0.38
chr7,133204848,133592401,NB,EXOC4,,15,14,0,38570.60081,48459.2968,26867.7024,17623.93063,1.80362638,0.184962406,-1.478236358,0.476941246,0,0.48
chr8,59700548,60042051,NB,TOX,TOX,18,12,3,38535.76797,36257.53647,78280.64705,26608.02991,0.463173694,0.02406015,-1.460595675,-0.276587928,1,0.56
chr15,37183548,37441351,NB,MEIS2,MEIS2,21,16,2,38428.55921,35043.29511,32328.0241,34324.69122,1.083991246,0.739849624,-1.44290371,-0.154484117,1,0.64
chr1,8407098,8885201,NB,VAMP3,,19,13,3,38393.84323,35215.86742,88596.41662,57615.47243,0.397486363,0.061654135,-1.702674218,-0.230273527,0,0.45
chr14,61927848,62218601,NB,HIF1A|SNAPC1,HIF1A,23,16,3,38381.56033,38271.73615,109759.8353,127172.7966,0.348686166,0.003007519,-1.688791297,-0.544237216,1,0.51|0.41
chr22,18072798,18565751,NB,,,13,7,3,38365.13062,35901.42726,76037.72611,76851.61778,0.472152826,0.02406015,-1.733517891,-0.313520994,1,
chr14,105708748,105972801,NB,CRIP2|C14orf80|CRIP1,,23,18,2,38334.96576,36820.64587,49646.5593,23793.14057,0.741655542,0.221052632,-1.718502916,0.059126194,0,0.41|0.37|0.37
chr22,46456948,46484422,NCC,PRR34-AS1|MIRLET7BHG|PRR34,,22,15,3,38207.69372,35618.75503,30046.86066,11300.62518,1.185440151,0.813533835,-1.154729985,-0.185045127,1,0.82|0.77|0.68
chr11,755798,908373,NB,TSPAN4,,16,9,3,37754.32925,34919.77056,73543.76287,41981.6683,0.474816207,0.010526316,-1.682224248,-0.247652461,1,0.38
chr19,1154748,1273018,NCC,CIRBP-AS1|C19orf24,,25,18,3,37672.25875,34789.2824,89977.12446,51689.15096,0.386645857,0.010526316,-1.763966062,-0.297030927,1,0.54|0.48
chr12,79253198,79609001,NB,SYT1,,17,15,0,37271.56271,39943.24228,37271.56271,11836.10045,1.071681447,0.887218045,-1.561796155,0.200240141,0,0.4
chr16,72834298,73131201,NB,,,20,16,2,37255.47949,38402.70055,45866.10542,47386.68287,0.837278426,0.6,-1.681274736,-0.00700852,1,
chr12,76016048,76487701,NB,PHLDA1,,18,12,3,37086.18521,32617.72651,170324.7328,112166.8165,0.191503171,0.001503759,-1.808148967,-0.659241382,1,0.73
chr12,122061598,122281701,NB,,,25,18,3,36622.42768,29105.85606,51302.83485,34427.11893,0.567334264,0.02406015,-1.567935927,-0.118446934,1,
chr10,73855948,74135851,NB,DDIT4|MCU,,24,18,2,36496.82887,35159.62042,71171.96107,38220.20278,0.494009437,0.016541353,-1.704863452,-0.161705292,1,0.41|0.38
chr11,12698466,12936951,NB,MICALCL,,25,18,3,36150.05087,34847.43592,60507.11283,43283.77432,0.575922967,0.079699248,-1.67547968,-0.193478485,1,0.41
chr9,97605448,97716351,NCC,,,25,18,3,36060.0464,33574.60593,43659.84123,42251.97079,0.769004307,0.261654135,-1.584690199,-0.099456172,1,
chr12,130936898,131233051,NB,RIMBP2|GLT1D1|ADGRD1|TMEM132C,,18,17,0,36037.59945,47818.46383,0,28.70500151,Inf,0.007716814,-0.69431043,4.057270615,0,0.89|0.49|0.45|0.42
chr16,49543998,49914001,NB,ZNF423,ZNF423,20,18,0,36012.47328,39064.37444,1610.339492,18521.17037,24.25847136,0.001503759,-1.333468976,1.825854987,0,0.64
chr5,110562444,110899701,NB,CAMK4,,21,16,2,35985.27061,35520.74966,42635.8944,19705.69084,0.833118436,0.739849624,-1.546980238,0.139725022,0,0.55
chr8,145621943,145779701,NB,,,11,8,1,35881.64087,32305.29346,48704.20135,27494.86038,0.663295826,0.061654135,-1.570506013,-0.070627684,0,
chr2,2829848,3214001,NB,MYT1L|LINC01250,MYT1L,18,17,0,35862.05372,39771.7535,1786.624889,2461.329242,22.26083033,0.001503759,-1.328297082,1.493753161,0,0.72|0.58
chr1,162999048,163197301,NB,RGS5,,22,16,3,35855.5191,31100.83467,75245.58825,37011.84098,0.413324361,0.221052632,-1.496569038,-0.158821819,0,0.66
chr2,207906598,208049701,NCC,KLF7,KLF7,24,18,3,35822.99778,37705.73412,41158.27998,38768.7591,0.9161154,0.962406015,-1.586376966,0.094684725,1,0.57
chr5,139007598,139148201,NB,CXXC5|PURA,,23,17,2,35815.35811,32486.63875,33043.69284,47999.45793,0.983141893,0.962406015,-1.554885543,-0.058612614,1,0.65|0.39
chr7,5581198,5752601,NB,,,25,18,3,35723.19533,32403.21101,54759.79898,47766.54117,0.591733564,0.10075188,-1.574352924,-0.158485577,1,
chr5,112314930,112628111,NB,DCP2|MCC,,23,18,3,35625.93769,37170.66602,28244.85615,24246.28991,1.316015413,0.6,-1.56030554,0.240450765,1,0.55|0.54
chrX,39915248,40076201,NB,BCOR,,21,18,0,35452.64073,41699.41324,20303.80025,21873.99442,2.053773812,0.006015038,-1.602608553,0.532375169,0,0.76
chr7,8152448,8433601,NB,ICA1|GLCCI1|NXPH1|RPA3|MIOS|UMAD1,,16,16,0,35405.22808,46041.167,1620.760413,1803.674802,28.4071394,0.001503759,-1.356525862,1.697237678,0,0.87|0.86|0.69|0.68|0.55|0.45
chr20,3718748,3916151,NB,MIR103A2,,23,16,3,35364.07876,31888.888,66487.49371,31423.059,0.47962235,0.006015038,-1.579374967,-0.195952859,0,0.39
chr2,42216948,42585855,NB,EML4,,22,16,3,35241.60512,33757.85223,55200.26306,30430.94005,0.61155238,0.533834586,-1.57079908,0.003329247,0,0.51
chr6,37660498,38384001,NB,,,12,8,2,35112.85937,34179.09286,75409.6751,55361.55163,0.45324546,0.061654135,-1.690186419,-0.196372889,1,
chr15,39914948,40407151,NB,C15orf52|THBS1|EIF2AK4|GPR176|INAFM2,,21,14,3,35077.9422,26397.63965,87213.00269,72973.60421,0.302680092,0.006015038,-1.567515448,-0.432114505,1,0.72|0.71|0.64|0.57|0.39
chr16,549848,723573,NB,CAPN15|WDR90,,13,7,2,34967.32587,31006.96431,54591.27064,27441.09371,0.567983928,0.02406015,-1.603957763,-0.137428657,0,0.59|0.47
chr5,106694898,107010251,NB,,,22,17,2,34826.05624,35842.33922,50765.63907,36333.43084,0.706035418,0.533834586,-1.600132939,-0.032672883,0,
chr2,170553461,171134501,NB,MYO3B|CCDC173|SP5|LINC01124,SP5,12,9,1,34739.66066,30678.10982,39140.4455,30639.93789,0.783795622,0.887218045,-1.583894276,0.002136628,0,0.52|0.46|0.43|0.4
chr17,46044048,46105001,NB,CBX1|SP2,SP2,23,18,1,34713.75186,37227.83234,17999.35843,8863.671008,2.068286627,0.061654135,-1.492224417,0.438116295,0,0.45|0.37
chr19,56085748,56206801,NB,PPP1R12C|PPP6R1|NAT14|NLRP5|DNAAF3|SBK3|ZNF524|ZNF865,ZNF524|ZNF865,11,8,1,34291.64204,31489.83826,61217.63571,36488.24782,0.514391611,0.010526316,-1.589477635,-0.183003195,0,0.52|0.48|0.47|0.45|0.4|0.4|0.39|0.37
chr3,47631348,48177901,NB,MAP4,,11,5,3,34265.48192,29543.75748,99810.40715,58705.03837,0.295998767,0.003007519,-1.596863057,-0.381369442,1,0.37
chr5,173039798,173401901,NB,CPEB4,,15,13,0,34210.02231,37514.2389,20620.48233,30373.72869,1.81927068,0.12481203,-1.559486959,0.248684698,0,0.41
chrX,71212248,71368401,NB,NHSL2|CITED1|RGAG4|ERCC6L,,20,18,0,34060.87131,37848.33388,1201.711415,3951.455823,31.49536021,0.001503759,-1.271409503,1.235457774,0,0.83|0.68|0.62|0.48
chr6,27759198,27830605,NB,,,23,17,2,34046.16172,27836.92496,45021.62717,17962.35133,0.618301174,0.046616541,-1.418957316,-0.012514924,0,
chr12,50254648,50730501,NB,ASIC1|AQP6|COX14,,17,12,3,34029.27937,33001.22455,112782.8372,50977.55675,0.292608568,0.034586466,-1.746110573,-0.297691324,0,0.52|0.46|0.43
chr14,53118198,53472401,NB,ERO1A|FERMT2|GNPNAT1|STYX,,18,12,3,33947.08129,31280.50894,79427.01875,56065.23342,0.393827056,0.10075188,-1.630820782,-0.249268112,1,0.52|0.51|0.49|0.37
chr6,158980348,159291851,NB,EZR|C6orf99,,18,11,3,33817.86027,29670.96839,82901.65506,37418.88024,0.357905622,0.034586466,-1.517626594,-0.254653975,0,0.45|0.38
chr1,36556950,36910051,NB,EVA1B|TRAPPC3|LSM10|SH3D21,,23,16,3,33807.70341,30463.53829,118204.6621,83036.142,0.257718585,0.003007519,-1.698866795,-0.504675786,1,0.58|0.49|0.44|0.39
chr11,19541298,20103451,NB,NAV2,,16,10,2,33738.07983,31922.77497,48037.89926,70027.18833,0.664533118,0.10075188,-1.521480946,-0.346779066,1,0.69
chr11,94797198,95399701,NB,SESN3,,10,7,2,33640.22256,39677.66514,31847.70705,19276.25018,1.245856258,0.962406015,-1.55647505,0.131577154,0,0.42
chr15,33109748,33537451,NB,FMN1,,22,15,3,33459.89647,27614.93292,116355.8158,76131.77696,0.23733178,0.006015038,-1.577323212,-0.575057009,0,0.51
chr10,75752648,76327101,NB,PLAU|C10orf55|VCL|NDST2|ADK|SAMD8,,16,10,3,33342.21493,27272.28506,133056.7937,80853.88935,0.20496725,0.006015038,-1.600589034,-0.502381304,1,0.63|0.63|0.54|0.45|0.43|0.4
